Region Code,Provider Code,Provider Name,Total number of incomplete pathways,Average (median) waiting time (in weeks),Month
Y56,R1H,BARTS HEALTH NHS TRUST,122329,15.5893845089903,April-2024
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,103030,18.6511500547645,April-2024
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,105194,14.1097514340344,April-2024
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,8267,11.1839285714286,April-2024
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,24222,10.4871495327103,April-2024
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,29070,16.314696485623,April-2024
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,39294,13.1851265822785,April-2024
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",66352,12.8612745098039,April-2024
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,140683,14.9248409331919,April-2024
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,69580,14.4157660521297,April-2024
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,33894,9.83052276559865,April-2024
Y56,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,63151,11.492384578772,April-2024
Y56,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,103311,14.4458477508651,April-2024
Y56,RKE,WHITTINGTON HEALTH NHS TRUST,19812,10.7792207792208,April-2024
Y56,RKL,WEST LONDON NHS TRUST,2124,5.78145695364238,April-2024
Y56,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,8003,11.0923344947735,April-2024
Y56,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,35674,7.47004830917874,April-2024
Y56,RPG,OXLEAS NHS FOUNDATION TRUST,2205,12.3979591836735,April-2024
Y56,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,1887,4.05,April-2024
Y56,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,60781,12.6744125326371,April-2024
Y56,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,32834,10.1159817351598,April-2024
Y56,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,72281,13.6410665451231,April-2024
Y56,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,1616,12.6888888888889,April-2024
Y56,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,50067,11.3659315147998,April-2024
Y56,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,99803,14.5275721687639,April-2024
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,69988,12.8756756756757,April-2024
Y58,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,60569,13.5687250996016,April-2024
Y58,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,33560,12.3165644171779,April-2024
Y58,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,21837,16.578125,April-2024
Y58,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,34894,11.6075174825175,April-2024
Y58,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,43266,11.0334928229665,April-2024
Y58,RH5,SOMERSET NHS FOUNDATION TRUST,54598,11.2827455919395,April-2024
Y58,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,74789,14.7816657027183,April-2024
Y58,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,905,8.775,April-2024
Y58,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,47535,13.7678861788618,April-2024
Y58,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,39644,15.8670157068063,April-2024
Y58,RNZ,SALISBURY NHS FOUNDATION TRUST,28034,15.6675392670157,April-2024
Y58,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,73938,11.5282805429864,April-2024
Y58,RVJ,NORTH BRISTOL NHS TRUST,46441,12.8436772692009,April-2024
Y59,R1C,SOLENT NHS TRUST,215,2.70833333333333,April-2024
Y59,R1F,ISLE OF WIGHT NHS TRUST,15538,15.6181818181818,April-2024
Y59,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,41031,15.2319630872483,April-2024
Y59,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,5546,10.8721804511278,April-2024
Y59,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,83708,19.3869193154034,April-2024
Y59,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,59481,12.2645331767469,April-2024
Y59,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,61087,15.2675438596491,April-2024
Y59,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,32624,8.62718446601942,April-2024
Y59,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,52553,14.4574704142012,April-2024
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,29099,10.6303441084463,April-2024
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,44120,16.803707742639,April-2024
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,17953,13.4275,April-2024
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,83198,14.1177254553532,April-2024
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,56854,14.1146844660194,April-2024
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,47443,14.2093321917808,April-2024
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,86880,16.7339077546883,April-2024
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,3838,5.91186440677966,April-2024
Y59,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,43369,9.6295590636908,April-2024
Y59,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,254,6.34782608695652,April-2024
Y59,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,53634,14.8211497515969,April-2024
Y59,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,52051,15.9820473644003,April-2024
Y59,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,142907,21.9165164082221,April-2024
Y59,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,3384,6.00431034482759,April-2024
Y60,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,53,3.375,April-2024
Y60,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,12549,17.9004854368932,April-2024
Y60,RBK,WALSALL HEALTHCARE NHS TRUST,30280,11.9723502304147,April-2024
Y60,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,28450,15.6852713178295,April-2024
Y60,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,33530,13.167714884696,April-2024
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,78984,16.1163251817581,April-2024
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,36579,13.5575726141079,April-2024
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,68129,16.548225308642,April-2024
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,15574,19.3771929824561,April-2024
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,90661,16.6183808553971,April-2024
Y60,RLQ,WYE VALLEY NHS TRUST,23790,15.3517495395948,April-2024
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,16310,13.8131868131868,April-2024
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,49153,14.1704453441296,April-2024
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,27630,12.9442970822281,April-2024
Y60,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,42349,11.9735429447853,April-2024
Y60,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,150,9.6,April-2024
Y60,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,26664,12.9607843137255,April-2024
Y60,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,7059,2.94416498993964,April-2024
Y60,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,15750,18.5395683453237,April-2024
Y60,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,127856,18.5638082376772,April-2024
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,107129,15.9399836132732,April-2024
Y60,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,70343,17.3881118881119,April-2024
Y60,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,111482,14.1828358208955,April-2024
Y60,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,61617,15.2055214723926,April-2024
Y60,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,85991,14.9486137667304,April-2024
Y60,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,75367,16.9256075874333,April-2024
Y60,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,41406,17.5053272450533,April-2024
Y60,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,16194,12.5245901639344,April-2024
Y61,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,1051,9.37234042553191,April-2024
Y61,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,164302,16.5311111111111,April-2024
Y61,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,100556,16.4440135724673,April-2024
Y61,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",26372,13.8078381795196,April-2024
Y61,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,36933,24.4960317460317,April-2024
Y61,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,85830,14.3190075321223,April-2024
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,6932,12.1086142322097,April-2024
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,82735,17.4253424657534,April-2024
Y61,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31668,20.4136690647482,April-2024
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,34787,14.5222646310433,April-2024
Y61,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,63044,13.6221419975933,April-2024
Y61,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,85262,16.7116486314449,April-2024
Y61,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,27687,17.0640326975477,April-2024
Y61,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,352,19.4615384615385,April-2024
Y61,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,57466,16.1104651162791,April-2024
Y61,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,57060,13.5501955671447,April-2024
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,188827,19.2112162162162,April-2024
Y62,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,44384,13.3476430976431,April-2024
Y62,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,80569,12.555487053021,April-2024
Y62,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,5123,9.45384615384615,April-2024
Y62,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,23481,15.5067365269461,April-2024
Y62,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,38521,14.8158783783784,April-2024
Y62,RBV,THE CHRISTIE NHS FOUNDATION TRUST,2393,3.76086956521739,April-2024
Y62,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,75808,15.946021146355,April-2024
Y62,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,1214,5.7984496124031,April-2024
Y62,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,18007,20.7395543175487,April-2024
Y62,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,16766,14.6875,April-2024
Y62,RJN,EAST CHESHIRE NHS TRUST,12672,13.3783783783784,April-2024
Y62,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,30353,16.7818352059925,April-2024
Y62,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,145455,16.1950639853748,April-2024
Y62,RMC,BOLTON NHS FOUNDATION TRUST,44307,18.2795275590551,April-2024
Y62,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,21192,12.946117274168,April-2024
Y62,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",54550,14.5773857257418,April-2024
Y62,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,32403,9.89319248826291,April-2024
Y62,RW4,MERSEY CARE NHS FOUNDATION TRUST,43,1.35714285714286,April-2024
Y62,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,1166,3.07692307692308,April-2024
Y62,RWJ,STOCKPORT NHS FOUNDATION TRUST,38536,17.2254196642686,April-2024
Y62,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,36222,13.9565656565657,April-2024
Y62,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,34120,14.8311057108141,April-2024
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,59024,15.4225534672715,April-2024
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,72840,16.8955007256894,April-2024
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,60976,9.896309314587,April-2024
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,35476,12.1543560606061,April-2024
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,45556,16.1362559241706,April-2024
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,22758,11.1656804733728,April-2024
Y63,RCF,AIREDALE NHS FOUNDATION TRUST,15118,12.1147186147186,April-2024
Y63,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,13558,11.9238845144357,April-2024
Y63,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22137,10.0982849604222,April-2024
Y63,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,31172,13.512082853855,April-2024
Y63,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,93935,12.4665017129806,April-2024
Y63,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,46541,13.4523110785033,April-2024
Y63,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,40156,14.1884200196271,April-2024
Y63,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,55372,13.1526418786693,April-2024
Y63,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,11788,10.2248803827751,April-2024
Y63,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,91016,11.7878086419753,April-2024
Y63,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,99972,10.9301246738185,April-2024
Y63,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,34378,10.0971579643093,April-2024
Y63,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,54896,12.794298490777,April-2024
Y63,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,20695,9.75991792065664,April-2024
Y63,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,74980,13.4025316455696,April-2024
Y63,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,35271,9.83475479744136,April-2024
Y63,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",210,5.56,April-2024
Y63,RXF,MID YORKSHIRE TEACHING NHS TRUST,54485,13.505081300813,April-2024
Y63,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,2752,3.05913978494624,April-2024
Y63,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,42401,11.6554347826087,April-2024
Y63,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,112,41.6363636363636,April-2024
Y63,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,433,14.25,April-2024
Y56,R1H,BARTS HEALTH NHS TRUST,122701,15.9798464491363,May-2024
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,103955,18.4148587801883,May-2024
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,107332,14.5366287339972,May-2024
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,8054,11.6555555555556,May-2024
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,24616,10.849938499385,May-2024
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,29502,16.609080841639,May-2024
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,40525,13.2927461139896,May-2024
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",66261,13.1900100401606,May-2024
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,138379,15.3228818283166,May-2024
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,68341,15.0983870967742,May-2024
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,34952,10.4690026954178,May-2024
Y56,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,64078,11.7808219178082,May-2024
Y56,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,100039,14.6427323549965,May-2024
Y56,RKE,WHITTINGTON HEALTH NHS TRUST,19065,10.9763458401305,May-2024
Y56,RKL,WEST LONDON NHS TRUST,2056,5.28484848484849,May-2024
Y56,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,8219,11.2474747474747,May-2024
Y56,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,35682,7.64821917808219,May-2024
Y56,RPG,OXLEAS NHS FOUNDATION TRUST,2182,13.3606557377049,May-2024
Y56,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,1970,4.44615384615385,May-2024
Y56,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,61540,12.8522044088176,May-2024
