Month,Region Code,Average (median) waiting time (in weeks)
2024-04-01,Y56,12.163067874642095
2024-05-01,Y56,12.47754740182945
2024-06-01,Y56,12.80098760080851
2024-07-01,Y56,12.831939968889143
2024-08-01,Y56,13.57434501240168
2024-09-01,Y56,13.665402920043862
2024-10-01,Y56,13.541465804470354
2024-11-01,Y56,13.533051626968366
2024-12-01,Y56,14.091737227103478
2025-01-01,Y56,14.212508565308346
2025-02-01,Y56,13.935036681088427
2025-03-01,Y56,12.4421039997849
2024-04-01,Y58,13.03527933981915
2024-05-01,Y58,13.451979959964701
2024-06-01,Y58,13.665926863498228
2024-07-01,Y58,13.083881638535937
2024-08-01,Y58,13.497067106300266
2024-09-01,Y58,13.463215226117436
2024-10-01,Y58,13.008479324902533
2024-11-01,Y58,12.570734280160968
2024-12-01,Y58,12.840850007904544
2025-01-01,Y58,12.926772319177191
2025-02-01,Y58,12.58220903875755
2025-03-01,Y58,11.766785139210853
2024-04-01,Y59,12.829773263796179
2024-05-01,Y59,12.933696906858462
2024-06-01,Y59,13.057003106329244
2024-07-01,Y59,12.993588133714299
2024-08-01,Y59,13.390463952620784
2024-09-01,Y59,13.541999682198254
2024-10-01,Y59,13.478426209827886
2024-11-01,Y59,13.376522851740537
2024-12-01,Y59,13.475408675332414
2025-01-01,Y59,13.66392957165563
2025-02-01,Y59,13.343996665716325
2025-03-01,Y59,12.952277920311086
2024-04-01,Y60,14.278594927878924
2024-05-01,Y60,14.355706596209062
2024-06-01,Y60,14.270228615396805
2024-07-01,Y60,13.827574579225168
2024-08-01,Y60,14.388012275294326
2024-09-01,Y60,14.224934752102138
2024-10-01,Y60,14.055058234194105
2024-11-01,Y60,13.767607362469903
2024-12-01,Y60,14.199289008265382
2025-01-01,Y60,14.282808005885283
2025-02-01,Y60,14.421141484992827
2025-03-01,Y60,13.539316093650495
2024-04-01,Y61,15.99751596450542
2024-05-01,Y61,16.33397815744709
2024-06-01,Y61,16.387567587894956
2024-07-01,Y61,16.234170070745773
2024-08-01,Y61,16.82296845597894
2024-09-01,Y61,16.60560435184805
2024-10-01,Y61,16.32373307894904
2024-11-01,Y61,16.301938169984336
2024-12-01,Y61,16.712007825377434
2025-01-01,Y61,17.39710756529212
2025-02-01,Y61,16.894206121632106
2025-03-01,Y61,16.409634155628346
2024-04-01,Y62,13.225596553728955
2024-05-01,Y62,13.348769425102946
2024-06-01,Y62,13.397591343776787
2024-07-01,Y62,13.224995466208597
2024-08-01,Y62,13.734210077968083
2024-09-01,Y62,13.474126010022651
2024-10-01,Y62,13.200937372689687
2024-11-01,Y62,13.008182370894524
2024-12-01,Y62,13.456293521089956
2025-01-01,Y62,13.53659185193928
2025-02-01,Y62,13.375459018527517
2025-03-01,Y62,13.089712367633867
2024-04-01,Y63,12.644574670307794
2024-05-01,Y63,12.908915022795012
2024-06-01,Y63,12.619937789813374
2024-07-01,Y63,12.785229937365166
2024-08-01,Y63,13.263324468761862
2024-09-01,Y63,12.793117582709426
2024-10-01,Y63,12.699879917325037
2024-11-01,Y63,12.890007880558285
2024-12-01,Y63,13.375199884774238
2025-01-01,Y63,12.292501651776622
2025-02-01,Y63,11.79611880672713
2025-03-01,Y63,11.092402803265044
