Region Code,Provider Code,Provider Name,Total number of incomplete pathways,Total within 18 weeks,Total 52 plus weeks,% within 18 weeks,% 52 plus weeks,Month
Y56,R1H,BARTS HEALTH NHS TRUST,246378,136538,7350,55.41809739505963,2.9832209044638724,April-2025
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,171354,89466,5726,52.21121187716656,3.3416202714847625,April-2025
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,298200,167944,7792,56.31924882629108,2.613011401743796,April-2025
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,16908,11686,96,69.11521173409038,0.5677785663591199,April-2025
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,62086,33356,862,53.72547756337983,1.3883967400057984,April-2025
Y56,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,84378,55702,526,66.01483799094551,0.6233852425987817,April-2025
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",113316,78638,1120,69.39708425994564,0.9883864591055104,April-2025
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,240904,146546,4760,60.83170059442765,1.9758908112775215,April-2025
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,110978,61884,5422,55.76240335922436,4.885653012308746,April-2025
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,68860,47076,1718,68.36479814115597,2.4949172233517283,April-2025
Y56,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,139690,85298,2840,61.06235235163576,2.0330732335886608,April-2025
Y56,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,175144,109058,2678,62.26761978714658,1.52902754305029,April-2025
Y56,RKE,WHITTINGTON HEALTH NHS TRUST,49062,31054,584,63.29542211895153,1.190330602095308,April-2025
Y56,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,16286,11130,474,68.34090629988947,2.9104752548200907,April-2025
Y56,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,66456,54982,44,82.73444083303238,0.06620922113879861,April-2025
Y56,RPG,OXLEAS NHS FOUNDATION TRUST,4014,2174,624,54.1604384653712,15.54559043348281,April-2025
Y56,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,3696,3404,6,92.09956709956711,0.16233766233766234,April-2025
Y56,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,134576,79424,946,59.017952681012964,0.7029485197955059,April-2025
Y56,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,72770,45618,302,62.68792084650268,0.41500618386697813,April-2025
Y56,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,148122,87078,2488,58.78802608660428,1.6796964664263243,April-2025
Y56,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,99502,64722,1694,65.04592872505074,1.7024783421438765,April-2025
Y56,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,176710,106428,3498,60.22749137004131,1.9795144587176732,April-2025
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,128914,78378,4522,60.7986719828723,3.5077648665001475,April-2025
Y58,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,108886,69306,1520,63.650056021894464,1.3959554028984442,April-2025
Y58,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,69244,43842,1828,63.31523308878748,2.6399399225925713,April-2025
Y58,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,44966,26486,896,58.90228172396922,1.9926166436863408,April-2025
Y58,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,82682,50116,1282,60.61295082363755,1.5505188553736,April-2025
Y58,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,81340,57098,694,70.19670518809934,0.8532087533808704,April-2025
Y58,RH5,SOMERSET NHS FOUNDATION TRUST,116850,75108,2874,64.27727856225931,2.459563543003851,April-2025
Y58,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,143688,86380,4418,60.116363231445916,3.0747174433494795,April-2025
Y58,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,1114,1092,12,98.02513464991023,1.0771992818671454,April-2025
Y58,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,96012,57446,3510,59.8321043202933,3.655793025871766,April-2025
Y58,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,75008,43352,1632,57.79650170648464,2.1757679180887375,April-2025
Y58,RNZ,SALISBURY NHS FOUNDATION TRUST,55986,36366,1144,64.95552459543458,2.043367984853356,April-2025
Y58,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,133652,92226,186,69.00457905605603,0.13916738993804806,April-2025
Y58,RVJ,NORTH BRISTOL NHS TRUST,85214,53848,432,63.19149435538761,0.5069589504072101,April-2025
Y59,R1F,ISLE OF WIGHT NHS TRUST,27370,16218,140,59.25465838509317,0.5115089514066496,April-2025
Y59,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,60302,33210,2700,55.072800238798045,4.477463434048621,April-2025
Y59,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,23460,17074,8,72.77919863597613,0.03410059676044331,April-2025
Y59,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,144412,77788,6220,53.86532975099022,4.307121291859403,April-2025
Y59,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,124612,78588,2436,63.06615735242191,1.9548679099926172,April-2025
Y59,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,121982,64552,5618,52.91928317292716,4.605597547179092,April-2025
Y59,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,76272,58106,84,76.18260960771974,0.11013215859030838,April-2025
Y59,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,101794,59146,2842,58.103621038568086,2.7919130793563474,April-2025
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,62536,37890,1356,60.589100678009466,2.168351029806831,April-2025
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,80342,42854,3436,53.33947374971994,4.276717034676756,April-2025
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,36230,21338,794,58.89594258901462,2.1915539608059618,April-2025
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,175858,100722,5698,57.274619295113105,3.2401141830340388,April-2025
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,118664,68184,1526,57.45971819591451,1.285983954695611,April-2025
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,109026,60772,1830,55.74083246198155,1.6784987067305048,April-2025
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,166212,89834,5296,54.04784251437923,3.18629220513561,April-2025
Y59,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,7922,7350,0,92.7796011108306,0.0,April-2025
Y59,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,92474,67058,2,72.51551787529468,0.0021627700759132298,April-2025
Y59,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,168,166,0,98.80952380952381,0.0,April-2025
Y59,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,126066,75750,2018,60.087573175955455,1.6007488141132422,April-2025
Y59,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,97084,55496,2598,57.162869267850525,2.676033125952783,April-2025
Y59,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,230440,115838,13848,50.268182607186255,6.009373372678355,April-2025
Y59,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,6648,6642,0,99.90974729241877,0.0,April-2025
Y60,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,192,186,0,96.875,0.0,April-2025
Y60,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,18702,10880,560,58.175596192920544,2.9943321569885573,April-2025
Y60,RBK,WALSALL HEALTHCARE NHS TRUST,57108,39752,204,69.6084611613084,0.35721790292078165,April-2025
Y60,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,57980,32222,1704,55.57433597792342,2.9389444636081405,April-2025
Y60,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,63818,41280,1008,64.68394496850418,1.5794916794634744,April-2025
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,132808,82388,3330,62.03541955303897,2.507379073549786,April-2025
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,70634,44974,906,63.67188606053742,1.2826684033185152,April-2025
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,166150,84688,3876,50.97080950947939,2.332831778513391,April-2025
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,33980,15264,2006,44.92054149499706,5.903472630959388,April-2025
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,172008,89684,4378,52.13943537509883,2.5452304543974695,April-2025
Y60,RLQ,WYE VALLEY NHS TRUST,47092,26882,1052,57.08400577592797,2.233925082816614,April-2025
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,40520,23528,1492,58.065153010858836,3.6821322803553804,April-2025
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,90900,55762,1602,61.34433443344335,1.7623762376237622,April-2025
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,49698,33064,342,66.52984023501952,0.6881564650488953,April-2025
Y60,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,83922,52040,1426,62.009961631038344,1.6991968732871,April-2025
Y60,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,82,76,2,92.6829268292683,2.4390243902439024,April-2025
Y60,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,52506,30532,200,58.14954481392603,0.38090884851255097,April-2025
Y60,RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,13080,12642,4,96.65137614678899,0.03058103975535168,April-2025
Y60,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,25478,14174,972,55.63231022843237,3.8150561268545413,April-2025
Y60,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,209794,104302,10390,49.71638845724854,4.952477191912067,April-2025
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,215860,116602,4374,54.01741869730381,2.026313351246178,April-2025
Y60,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,140084,75370,3550,53.803432226378455,2.5341937694526138,April-2025
Y60,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,215608,120794,4212,56.024822826611256,1.9535453229935809,April-2025
Y60,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,110000,65254,1808,59.32181818181819,1.6436363636363638,April-2025
Y60,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,166162,95738,3880,57.61726507865818,2.335070593757899,April-2025
Y60,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,130450,71996,2502,55.190494442315064,1.9179762361057877,April-2025
Y60,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,82476,40918,2624,49.612008341820655,3.181531597070663,April-2025
Y60,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,31696,20868,104,65.8379606259465,0.3281171125694094,April-2025
Y61,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,345462,162406,21896,47.01124870463322,6.338179018242237,April-2025
Y61,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,200830,107028,5548,53.29283473584624,2.762535477767266,April-2025
Y61,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",53768,31384,1186,58.369290284183904,2.2057729504538015,April-2025
Y61,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,63538,29764,3108,46.84440807076081,4.891560955648588,April-2025
Y61,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,183786,101372,6466,55.157628981532866,3.5182222802607384,April-2025
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,14282,9214,112,64.51477384119872,0.7842038930121831,April-2025
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,154698,81682,5950,52.800941188638504,3.8462035708283238,April-2025
Y61,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,69982,38006,3440,54.308250693035355,4.915549712783287,April-2025
Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,71112,39494,2832,55.53774327820902,3.9824502193722577,April-2025
Y61,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130644,75118,5056,57.49823949052386,3.870059091883286,April-2025
Y61,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,160486,85150,7426,53.05758757773263,4.627194895504904,April-2025
Y61,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,102790,50138,4806,48.7771183967312,4.675552096507443,April-2025
Y61,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,678,354,140,52.21238938053098,20.64896755162242,April-2025
Y61,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,92354,57442,1868,62.19763085518765,2.022651969595253,April-2025
Y61,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,111718,70050,2132,62.70251884208453,1.9083764478418876,April-2025
Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,384460,196242,16808,51.04354159080269,4.371846225875253,April-2025
Y62,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,92800,55438,2256,59.73922413793103,2.4310344827586206,April-2025
Y62,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,151360,97246,4024,64.24815010570825,2.6585623678646932,April-2025
Y62,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,10966,7506,100,68.44792996534744,0.9119095385737734,April-2025
Y62,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,40086,21750,724,54.258344559197724,1.8061168487751336,April-2025
Y62,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,71150,39226,3226,55.13141250878426,4.5340829234012645,April-2025
Y62,RBV,THE CHRISTIE NHS FOUNDATION TRUST,5614,5310,0,94.58496615603848,0.0,April-2025
Y62,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,140366,75386,6004,53.70673809896983,4.277389111323255,April-2025
Y62,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,2030,1990,0,98.0295566502463,0.0,April-2025
Y62,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,33152,16642,820,50.199083011583014,2.4734555984555984,April-2025
Y62,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,28720,17852,260,62.15877437325905,0.9052924791086351,April-2025
Y62,RJN,EAST CHESHIRE NHS TRUST,27074,16028,218,59.20070916746695,0.8052005614242446,April-2025
Y62,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,67392,31724,4416,47.07383665716999,6.552706552706552,April-2025
Y62,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,277424,145350,9922,52.3927273775881,3.5764749985581634,April-2025
Y62,RMC,BOLTON NHS FOUNDATION TRUST,76346,41928,2508,54.918397820449,3.2850444031121473,April-2025
Y62,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,34412,24352,0,70.76601185632919,0.0,April-2025
Y62,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",100818,57088,3970,56.62480906187387,3.9377888869051163,April-2025
Y62,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,69206,47194,972,68.19350923330347,1.4045024997832558,April-2025
Y62,RW4,MERSEY CARE NHS FOUNDATION TRUST,92,80,4,86.95652173913044,4.3478260869565215,April-2025
Y62,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,5762,5622,0,97.57028809441167,0.0,April-2025
Y62,RWJ,STOCKPORT NHS FOUNDATION TRUST,70380,38820,2920,55.15771526001705,4.1489059391872685,April-2025
Y62,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,68912,38972,3054,56.55328534943116,4.431739029486882,April-2025
Y62,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,68312,38034,2642,55.676894249912166,3.8675488933130344,April-2025
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,123028,67448,3282,54.823292258672815,2.667685404948467,April-2025
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,120470,68022,5196,56.4638499211422,4.313106997592762,April-2025
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,114806,86094,50,74.99085413654339,0.04355173074577984,April-2025
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,65082,41124,298,63.18797824283212,0.45788390031037773,April-2025
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,99236,56202,2298,56.63468902414447,2.31569188600911,April-2025
