Region Code,Total number of incomplete pathways,Total within 18 weeks,Total 52 plus weeks,% within 18 weeks,% 52 plus weeks,Month
Y56,2499390,1509206,51550,60.382973445520705,2.0625032507931933,April-2025
Y58,1223556,771044,24950,63.01664983049407,2.0391383802621212,April-2025
Y59,1989874,1154576,58450,58.022568263116156,2.937371914000585,April-2025
Y60,2478788,1401860,58508,56.55425151323954,2.360347072843664,April-2025
Y61,1756128,938602,71966,53.44724302556534,4.0979928570127,April-2025
Y62,2070332,1155250,73326,55.80022914199269,3.5417507916604682,April-2025
Y63,1979834,1293772,34178,65.34749883071005,1.72630634689575,April-2025
Y56,2511590,1537848,57660,61.2300574536449,2.29575687114537,May-2025
Y58,1218586,778432,25480,63.87993953647917,2.090948033212264,May-2025
Y59,1973568,1169670,57870,59.26676962739567,2.9322526510360927,May-2025
Y60,2460044,1421910,62320,57.80018568773566,2.533288022490655,May-2025
Y61,1734664,957686,73892,55.208732065691116,4.259729838170389,May-2025
Y62,2048610,1167590,74128,56.99425464095167,3.618453487974773,May-2025
Y63,1978200,1313930,35812,66.42048326761703,1.8103326256192498,May-2025
Y56,2529848,1568476,55886,61.99882364474071,2.2090655248852893,June-2025
Y58,1214650,782512,24112,64.422837854526,1.9850985880706378,June-2025
Y59,1971412,1176146,55274,59.660081200682555,2.8037771911705924,June-2025
Y60,2444636,1445834,58868,59.143119875515204,2.408047660265168,June-2025
Y61,1722580,958062,71970,55.61785229133045,4.178035272672387,June-2025
Y62,2049226,1173782,74376,57.27928495929683,3.6294679064193014,June-2025
Y63,1983606,1323412,35558,66.71748320987132,1.792593892133821,June-2025
Y56,2527582,1563486,55698,61.856984264012006,2.2036080332903145,July-2025
Y58,1217250,779042,23820,64.00016430478537,1.9568699938385705,July-2025
Y59,1975380,1171842,55224,59.32235822980895,2.795614008443945,July-2025
Y60,2424706,1433000,57558,59.0999486123266,2.3738135675005547,July-2025
Y61,1733090,963168,71360,55.57518651656868,4.117501110732853,July-2025
Y62,2070602,1181986,73772,57.084171656358876,3.5628285880145003,July-2025
Y63,1818006,1205038,32166,66.2834996144127,1.76930109141554,July-2025
Y56,2525328,1554382,54032,61.551687543162714,2.139603251538018,August-2025
Y58,1220734,773522,23622,63.36531955364559,1.9350652967804618,August-2025
Y59,1964936,1162546,55452,59.16457329907946,2.8220766477890376,August-2025
Y60,2412264,1423070,54084,58.99312844696932,2.242043159455184,August-2025
Y61,1734912,961678,73780,55.43093828390143,4.25266526486646,August-2025
Y62,2091046,1182810,75132,56.56547010443577,3.59303429958021,August-2025
Y63,1823354,1193674,33282,65.46583932686686,1.8253175192529811,August-2025
Y56,2528806,1579918,49994,62.476836894566055,1.976980440571558,September-2025
Y58,1217048,783522,21918,64.37889056142404,1.800915000887393,September-2025
Y59,1944874,1164722,53642,59.88675873089979,2.758122119993377,September-2025
Y60,2404262,1439390,50518,59.86826726870865,2.1011853117505495,September-2025
Y61,1727470,965766,71842,55.90638332358884,4.158798705621516,September-2025
Y62,2085050,1198828,68928,57.49636699359728,3.3058200043164434,September-2025
Y63,1823162,1206322,31880,66.16647341267534,1.7486103813045686,September-2025
Y56,2521206,1571946,45806,62.348971087646156,1.816828930281778,October-2025
Y58,1216900,785564,21014,64.55452378995808,1.726846906072808,October-2025
Y59,1943448,1168458,51990,60.12293614236142,2.6751423243637085,October-2025
Y60,2407042,1437372,48390,59.71528540008857,2.0103512942441384,October-2025
Y61,1739658,972510,70354,55.90236701696541,4.044128213706372,October-2025
Y62,2079740,1199030,64176,57.65287968688394,3.0857703366767,October-2025
Y63,1823714,1202238,30088,65.92250758616757,1.6498200924048398,October-2025
Y56,2397140,1485452,40522,61.96767814979517,1.6904310970573266,November-2025
Y58,1208670,784538,19430,64.90919771318889,1.6075521027244823,November-2025
Y59,1924494,1158770,46054,60.21167122370868,2.393044613285362,November-2025
Y60,2391542,1422796,44784,59.492829312635955,1.8725993522171054,November-2025
Y61,1710088,962596,65880,56.289266985090826,3.8524333250686515,November-2025
Y62,2035496,1170860,57342,57.52209780810181,2.817102072418713,November-2025
Y63,1796544,1178328,28448,65.58859677246981,1.5834847351359056,November-2025
Y56,2530980,1575868,38250,62.26315498344515,1.5112723134912167,December-2025
Y58,1200514,773930,18478,64.46655349292053,1.5391740537802976,December-2025
Y59,1918912,1146794,42118,59.76271970783444,2.194889604108995,December-2025
Y60,2386052,1411298,39422,59.14783081005779,1.6521852834724473,December-2025
Y61,1699184,954230,60938,56.15813237412781,3.586309663932805,December-2025
Y62,2014188,1161402,47236,57.661052493610335,2.34516341076404,December-2025
Y63,1786152,1166206,25674,65.29153173973995,1.4373916665546942,December-2025
Y56,2523038,1573502,36772,62.365370636510434,1.4574493130900128,January-2026
Y58,1208824,781648,17118,64.66185317300119,1.4160870399661158,January-2026
Y59,1907538,1135526,41522,59.52835539842457,2.176732521186996,January-2026
Y60,2372904,1392496,39748,58.68319999460576,1.6750783006813592,January-2026
Y61,1667106,948790,57930,56.91239789191569,3.4748840205721767,January-2026
Y62,1991072,1157096,43024,58.11422188650134,2.1608460166181835,January-2026
Y63,1775328,1155918,25880,65.11010923051965,1.4577587916148451,January-2026
Y56,2505342,1598280,32180,63.794883093805154,1.2844553757530908,February-2026
Y58,1215058,796892,15646,65.58468813834402,1.2876751562476854,February-2026
Y59,1897216,1146810,38578,60.44699180272568,2.033400519498043,February-2026
Y60,2382914,1426436,36920,59.860993724490264,1.549363510391059,February-2026
Y61,1647666,960442,50252,58.291061416573505,3.049889965563409,February-2026
Y62,1962902,1176836,38192,59.95388460554831,1.9456906152217481,February-2026
Y63,1765318,1158308,24724,65.6146937832164,1.4005408657250422,February-2026
Y56,2451146,1635258,22422,66.71401866718669,0.9147557917806609,March-2026
Y58,1201100,810868,12018,67.51044875530764,1.0005827991008243,March-2026
Y59,1881264,1192998,30300,63.41470415635445,1.6106192432322097,March-2026
Y60,2317124,1478550,28582,63.809705479724,1.2335118880128988,March-2026
Y61,1633724,985606,40260,60.32879482703321,2.464308536815276,March-2026
Y62,1909116,1216500,26116,63.72059110080267,1.3679629734390157,March-2026
Y63,1752994,1186412,20652,67.6791820165956,1.1780987270920493,March-2026
Y56,2488340,1649194,24544,66.27687534661662,0.9863603848348699,April-2026
Y58,1157626,778934,11814,67.2871894722475,1.0205368573269777,April-2026
Y59,1914108,1199366,32670,62.6592647854771,1.7068002432464626,April-2026
Y60,2362554,1496278,30600,63.33307090546925,1.2952084904725987,April-2026
Y61,1643876,984168,41166,59.86874922439406,2.5042034800678397,April-2026
Y62,1919564,1217054,26744,63.402626846513066,1.393233046671015,April-2026
Y63,1804474,1219310,22024,67.57149174773369,1.220521880614517,April-2026
